,Country,continent,sub_region
1,Thailand,Asia,South-Eastern Asia
2,Japan,Asia,Eastern Asia
3,Singapore,Asia,South-Eastern Asia
4,Nepal,Asia,Southern Asia
5,Malaysia,Asia,South-Eastern Asia
6,Canada,Americas,Northern America
7,Australia,Oceania,Australia and New Zealand
8,Cambodia,Asia,South-Eastern Asia
9,Sri Lanka,Asia,Southern Asia
10,Germany,Europe,Western Europe
11,Finland,Europe,Northern Europe
12,United Arab Emirates,Asia,Western Asia
13,Philippines,Asia,South-Eastern Asia
14,India,Asia,Southern Asia
15,Italy,Europe,Southern Europe
16,Sweden,Europe,Northern Europe
17,Spain,Europe,Southern Europe
18,Belgium,Europe,Western Europe
19,Egypt,Africa,Northern Africa
20,Lebanon,Asia,Western Asia
21,Iraq,Asia,Western Asia
22,Oman,Asia,Western Asia
23,Afghanistan,Asia,Southern Asia
24,Bahrain,Asia,Western Asia
25,Kuwait,Asia,Western Asia
26,Algeria,Africa,Northern Africa
27,Croatia,Europe,Southern Europe
28,Switzerland,Europe,Western Europe
29,Austria,Europe,Western Europe
30,Israel,Asia,Western Asia
31,Pakistan,Asia,Southern Asia
32,Brazil,Americas,South America
33,Georgia,Asia,Western Asia
34,Greece,Europe,Southern Europe
35,North Macedonia,Europe,Southern Europe
36,Norway,Europe,Northern Europe
37,Romania,Europe,Eastern Europe
38,Estonia,Europe,Northern Europe
39,San Marino,Europe,Southern Europe
40,Belarus,Europe,Eastern Europe
41,Iceland,Europe,Northern Europe
42,Lithuania,Europe,Northern Europe
43,Mexico,Americas,Central America
44,New Zealand,Oceania,Australia and New Zealand
45,Nigeria,Africa,Western Africa
46,Ireland,Europe,Northern Europe
47,Luxembourg,Europe,Western Europe
48,Monaco,Europe,Western Europe
49,Qatar,Asia,Western Asia
50,Ecuador,Americas,South America
51,Azerbaijan,Asia,Western Asia
52,Armenia,Asia,Western Asia
53,Dominican Republic,Americas,Caribbean
54,Indonesia,Asia,South-Eastern Asia
55,Portugal,Europe,Southern Europe
56,Andorra,Europe,Southern Europe
57,Latvia,Europe,Northern Europe
58,Morocco,Africa,Northern Africa
59,Saudi Arabia,Asia,Western Asia
60,Senegal,Africa,Western Africa
61,Argentina,Americas,South America
62,Chile,Americas,South America
63,Jordan,Asia,Western Asia
64,Ukraine,Europe,Eastern Europe
65,Hungary,Europe,Eastern Europe
66,Liechtenstein,Europe,Western Europe
67,Poland,Europe,Eastern Europe
68,Tunisia,Africa,Northern Africa
69,Bosnia and Herzegovina,Europe,Southern Europe
70,Slovenia,Europe,Southern Europe
71,South Africa,Africa,Southern Africa
72,Bhutan,Asia,Southern Asia
73,Cameroon,Africa,Middle Africa
74,Colombia,Americas,South America
75,Costa Rica,Americas,Central America
76,Peru,Americas,South America
77,Serbia,Europe,Southern Europe
78,Slovakia,Europe,Eastern Europe
79,Togo,Africa,Western Africa
80,Malta,Europe,Southern Europe
81,Martinique,Americas,Caribbean
82,Bulgaria,Europe,Eastern Europe
83,Maldives,Asia,Southern Asia
84,Bangladesh,Asia,Southern Asia
85,Paraguay,Americas,South America
86,Albania,Europe,Southern Europe
87,Cyprus,Asia,Western Asia
88,Brunei,Asia,South-Eastern Asia
89,US,Americas,Northern America
90,Burkina Faso,Africa,Western Africa
91,Holy See,Europe,Southern Europe
92,Mongolia,Asia,Eastern Asia
93,Panama,Americas,Central America
94,China,Asia,Eastern Asia
95,Iran,Asia,Southern Asia
96,"Korea, South",Asia,Eastern Asia
97,France,Europe,Western Europe
98,Cruise Ship,Other,Other
99,Denmark,Europe,Northern Europe
100,Czechia,Europe,Eastern Europe
101,Taiwan*,Asia,Eastern Asia
102,Vietnam,Asia,South-Eastern Asia
103,Russia,Europe,Eastern Europe
104,Moldova,Europe,Eastern Europe
105,Bolivia,Americas,South America
106,Honduras,Americas,Central America
107,United Kingdom,Europe,Northern Europe
108,Congo (Kinshasa),Africa,Middle Africa
109,Cote d'Ivoire,Africa,Western Africa
